id,restaurant,address,votes,link,Zipcode
0,Designer Second Hand Solln,Wolfratshauser Str. 189,5,https://branchenbuch.portal.muenchen.de/mhp/1259241/,81479
1,Gabin Designer Secondhand,Georgenstr. 46,5,https://branchenbuch.portal.muenchen.de/mhp/56539/,80799
2,Cri Cri Secondhand Kindermode,Hohenzollernstr. 69,5,https://branchenbuch.portal.muenchen.de/mhp/1262530/,80796
3,Fashion & Fantasy,Fürstenstr. 17,0,https://branchenbuch.portal.muenchen.de/mhp/1265505/,80333
4,KLEIDERPRACHT 1st & 2nd hand,Kurfürstenstr. 49,5,https://branchenbuch.portal.muenchen.de/mhp/1219476/,80801
5,CityQuartier Fünf Höfe,Theatinerstr. 15,4,https://www.muenchen.de/shopping/orte/120559.html,80333
6,Kaufingertor,Kaufingerstr. 9,5,https://branchenbuch.portal.muenchen.de/mhp/40527/,80331
7,MIRA mein Einkaufszentrum,Schleißheimer Straße 506,0,https://branchenbuch.portal.muenchen.de/mhp/1294992/,80933
8,Olympia-Einkaufszentrum,Hanauerstr. 68,4,http://www.muenchen.de/shopping/orte/120887.html,80993
9,pep München-Neuperlach,Thomas-Dehler-Straße 10,5,http://www.muenchen.de/shopping/orte/120886.html,81737
10,Riem Arcaden,Willy-Brandt-Platz 5,4,http://www.muenchen.de/shopping/orte/120885.html,81829
11,CityQuartier Fünf Höfe,Theatinerstr. 15,4,https://www.muenchen.de/shopping/orte/120559.html,80333
12,Hofstatt Einkaufspassage,Sendlinger Straße 10,4,http://www.muenchen.de/shopping/orte/273414.html,80331
13,Kaufingertor,Kaufingerstr. 9,5,http://www.muenchen.de/shopping/orte/120718.html,80331
14,Luitpoldblock,Brienner Str. 11,4,http://www.muenchen.de/shopping/orte/120716.html,80333
15,Stachus Passagen,Karlsplatz Stachus 1. UG,4,http://www.muenchen.de/shopping/orte/120717.html,80335
16,Eataly am Viktualienmarkt,Blumenstraße 4,3,https://www.muenchen.de/shopping/orte/1253241.html,80331
17,Flughafen München,Nordallee 25,3,https://branchenbuch.portal.muenchen.de/mhp/1267077/,85326
18,BASSETTI OUTLET Martinsried,Lochhamerstr. 4,5,https://branchenbuch.portal.muenchen.de/mhp/1262050/,82152
19,Classic Outlet,Leopoldstr. 20,0,http://www.muenchen.de/shopping/orte/120911.html,80802
20,Tretter Schuh Center,Heimstettener Str. 1,0,https://branchenbuch.portal.muenchen.de/mhp/1289405/,85599
21,MAERZ Muenchen Outlet,Bayerwaldstr. 7,5,https://branchenbuch.portal.muenchen.de/mhp/1259646/,81737
22,Tretter Bartu Outlet,Bayerstr. 8,0,https://branchenbuch.portal.muenchen.de/mhp/1289849/,80335
