id,restaurant,address,votes,link,Zipcode
0,Effnerplatz,Effnerplatz 1,2,https://www.muenchen.de/sehenswuerdigkeiten/orte/120334.html,81679
1,Gärtnerplatz,Gärtnerplatz 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120320.html,80469
2,Geschwister-Scholl-Platz,Geschwister-Scholl-Platz 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120313.html,80539
3,Hans-Mielich-Platz,Hans-Mielich-Platz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/238436.html,81543
4,Hauptbahnhof,Bahnhofplatz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/120302.html,80335
5,Hohenzollernplatz,Hohenzollernplatz 1,4,https://www.muenchen.de/shopping/orte/120309.html,80796
6,Isartorplatz,Isartorplatz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/120315.html,80331
7,Josephsplatz,Josephsplatz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/240202.html,80798
8,Karlsplatz (Stachus),Karlsplatz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120328.html,80335
9,Karolinenplatz,Karolinenplatz,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120279.html,80333
10,Königsplatz,Königsplatz 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/130668.html,80333
11,Lenbachplatz,Lenbachplatz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/120349.html,80333
12,Leopoldstraße,Leopoldstr. 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120327.html,80802
13,Luise-Kiesselbach-Platz,Luise-Kiesselbach-Platz 1,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/120326.html,81377
14,Marienhof,Weinstr. 9,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/169923.html,80331
15,Marienplatz,Marienplatz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120347.html,80331
16,Max-Joseph-Platz,Max-Joseph-Platz 1,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120307.html,80539
17,Münchner Freiheit,Münchner Freiheit,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120324.html,80802
18,Odeonsplatz,Odeonsplatz 1,5,https://www.muenchen.de/sehenswuerdigkeiten/orte/120341.html,80539
19,Orleansplatz,Orleansplatz,3,https://www.muenchen.de/shopping/orte/120304.html,81667
20,Pasinger Bahnhofsplatz,Pasinger Bahnhofplatz 8,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120306.html,81241
21,Platz der Opfer des Nationalsozialismus,Brienner Str. 14,4,https://www.muenchen.de/sehenswuerdigkeiten/orte/120316.html,80333
22,Platzl,Platzl 10,3,https://www.muenchen.de/sehenswuerdigkeiten/orte/143950.html,80331
